Frames,Binding Energy
1,-49.1523000000027
2,-39.9662000000026
3,-37.6849999999952
4,-51.3854999999971
5,-24.041300000003
6,-35.387999999998
7,-41.2186999999989
8,-42.2880999999994
9,-40.8323000000005
10,-41.2733000000011
11,-35.8079000000021
12,-41.0392999999981
13,-46.6964999999977
14,-42.1616999999962
15,-41.5503000000025
16,-42.8191000000007
17,-34.5289999999993
18,-31.9908000000022
19,-36.1917000000004
20,-47.6211000000017
21,-40.5170000000029
22,-42.8824999999964
23,-42.5346000000017
24,-33.2894999999957
25,-34.5938000000016
26,-42.8838999999999
27,-38.1371999999997
28,-31.503000000002
29,-30.3105000000008
30,-47.7584000000046
31,-34.627700000003
32,-30.884199999998
33,-26.3430000000021
34,-33.8111000000009
35,-45.5451999999987
36,-37.1726000000009
37,-40.2011999999975
38,-44.8707000000018
39,-29.6530000000016
40,-45.2865999999995
41,-38.4750000000033
42,-42.0602000000014
43,-35.4926000000024
44,-38.4107000000014
45,-47.0634999999995
46,-34.5097000000001
47,-45.0942000000022
48,-27.7437000000001
49,-40.3779999999992
50,-37.4795999999968
51,-38.9637999999979
52,-46.7220999999987
53,-43.4638000000006
54,-32.5028000000024
55,-42.3895999999992
56,-48.3822000000026
57,-36.4038999999972
58,-44.9943999999998
59,-46.7620000000015
60,-39.0280999999991
61,-42.2303000000046
62,-42.6585000000007
63,-32.8595999999991
64,-51.4687000000017
65,-46.9304999999987
66,-55.595000000003
67,-53.2128999999978
68,-41.2507000000003
69,-46.3231000000017
70,-37.6268999999983
71,-42.2175999999969
72,-43.3736000000006
73,-36.7708
74,-44.8666000000047
75,-38.8163999999958
76,-41.8417000000038
77,-33.7602000000011
78,-46.6671999999988
79,-47.215199999999
80,-42.7829000000016
81,-25.6784999999999
82,-32.5267999999999
83,-34.865400000001
84,-35.719699999997
85,-30.7672999999986
86,-37.974499999999
87,-33.5631000000025
88,-41.7779999999985
89,-37.0341000000017
90,-38.2324999999954
91,-30.9437000000019
92,-43.943700000004
93,-35.2415000000002
94,-37.8503000000005
95,-28.2749999999988
96,-41.556199999999
97,-29.8162999999969
98,-34.5551999999983
99,-27.136500000003
100,-31.1675999999979
101,-38.8769000000024
102,-37.1546000000012
103,-25.5974999999975
104,-26.6326999999997
105,-35.7682000000005
106,-37.7783999999982
107,-35.3243
108,-33.5367999999958
109,-39.0315999999995
110,-22.1319000000002
111,-34.6711000000005
112,-33.7773999999997
113,-38.5880999999981
114,-42.5865999999996
115,-41.2910999999996
116,-43.150099999998
117,-33.8247999999988
118,-29.4600000000017
119,-30.8075000000025
120,-30.3958999999994
121,-31.5876000000004
122,-34.6792000000052
123,-29.8629999999974
124,-34.9223000000039
125,-28.8236000000023
126,-39.9652000000038
127,-32.2710000000022
128,-34.0545999999954
129,-44.8823999999994
130,-41.274299999999
131,-47.0825000000011
132,-23.1619000000045
133,-32.1955000000013
134,-43.3855000000019
135,-43.8310999999983
136,-31.4044000000005
137,-35.6247999999982
138,-33.2493000000036
139,-33.8079000000008
140,-37.1882999999979
141,-39.9809000000013
