#Frame      Mode1    Mode2    Mode3
       1  -51.485  -86.978  -22.699
       2  -62.214  -96.203  -35.233
       3  -59.906  -89.981  -39.207
       4  -54.870  -89.457  -35.803
       5  -49.663  -88.745  -28.942
       6  -54.418  -90.899  -21.714
       7  -49.750  -90.703  -21.332
       8  -49.841  -93.165  -25.995
       9  -48.425  -90.806  -31.205
      10  -47.238  -95.137  -30.587
      11  -51.828  -93.028  -31.840
      12  -53.843 -103.065  -35.507
      13  -50.857 -103.887  -33.163
      14  -52.073 -100.529  -33.862
      15  -35.330 -101.183  -36.989
      16  -33.478  -92.120  -27.563
      17  -36.666  -99.647  -17.718
      18  -37.338 -104.432  -20.409
      19  -38.526 -100.644  -13.689
      20  -35.932  -96.136  -20.881
      21  -32.301  -94.291  -10.608
      22  -32.287 -103.762  -16.662
      23  -45.875 -107.536  -19.686
      24  -44.482 -109.236  -17.166
      25  -40.691 -100.808  -10.066
      26  -51.203 -106.361  -12.658
      27  -54.804 -117.010   -9.515
      28  -43.853 -124.959  -17.186
      29  -39.199 -125.163   -7.594
      30  -41.605 -127.620   -3.509
      31  -51.597 -119.532   -3.753
      32  -46.055 -105.769   -1.620
      33  -48.609 -104.565  -10.017
      34  -56.306 -104.793  -13.538
      35  -63.402  -91.961   -5.802
      36  -62.425  -89.650   -0.484
      37  -59.728 -100.476  -10.400
      38  -70.181  -91.658   -4.355
      39  -61.682 -102.606    2.476
      40  -60.892 -109.364   -6.465
      41  -63.484  -98.463   -8.123
      42  -72.051  -96.140  -17.077
      43  -67.937  -94.580  -15.514
      44  -69.236  -93.940  -13.215
      45  -80.848  -91.559  -16.978
      46  -69.532 -106.937  -19.582
      47  -66.329 -110.475  -19.123
      48  -55.025 -109.517  -26.307
      49  -51.780 -106.445  -15.030
      50  -43.205 -109.100  -20.917
      51  -51.899 -108.440  -25.353
      52  -48.188 -104.284  -19.263
      53  -51.798 -103.549  -24.866
      54  -54.258 -100.846  -29.921
      55  -46.017 -108.276  -24.765
      56  -54.167 -116.306  -26.127
      57  -63.137 -109.889  -21.210
      58  -61.707 -110.522  -12.111
      59  -53.167 -118.495  -19.135
      60  -50.914 -114.339  -10.521
      61  -58.968 -112.025  -20.990
      62  -59.766 -104.985  -15.509
      63  -55.074 -101.410   -6.106
      64  -56.158 -101.975  -10.795
      65  -54.620  -95.472  -12.498
      66  -48.647 -111.516  -13.270
      67  -55.536 -106.163  -13.941
      68  -59.893 -105.963  -16.643
      69  -59.931 -103.708  -19.959
      70  -63.841  -85.430  -20.908
      71  -55.317  -91.224   -6.155
      72  -63.782  -88.937   -7.060
      73  -58.719  -82.000  -11.087
      74  -70.136  -92.084  -29.820
      75  -54.895  -91.887  -19.014
      76  -61.823  -88.288  -14.790
      77  -60.124  -96.010  -15.327
      78  -59.179  -94.231  -25.272
      79  -46.059  -98.965  -19.344
      80  -41.759  -93.400   -6.626
      81  -40.782 -104.319  -16.306
      82  -46.625  -93.979  -24.871
      83  -54.503 -101.413  -27.856
      84  -47.674  -97.131  -15.824
      85  -45.731  -89.580   -9.893
      86  -32.770  -87.729  -18.167
      87  -38.820  -88.162  -11.218
      88  -41.671  -84.687  -19.339
      89  -43.197  -90.326  -16.236
      90  -34.500  -90.416  -12.301
      91  -52.928  -95.612  -16.158
      92  -43.158  -87.278  -28.431
      93  -43.044  -85.018  -36.770
      94  -47.345  -84.506  -29.226
      95  -42.578  -89.288  -29.152
      96  -38.969  -88.473  -26.579
      97  -40.955  -96.144  -22.129
      98  -30.292  -98.253  -34.396
      99  -26.627 -100.942  -19.940
     100  -32.787  -95.060  -13.618
     101  -27.789  -94.189  -29.823
     102  -24.748  -97.285  -24.803
     103  -28.146  -95.153  -26.122
     104  -30.109 -102.995  -33.441
     105  -31.812 -109.743  -25.080
     106  -41.216  -95.917  -29.454
     107  -43.198  -99.364  -29.517
     108  -48.559  -99.560  -29.752
     109  -40.747  -93.419  -29.210
     110  -49.349  -86.607  -33.651
     111  -43.703  -84.523  -16.490
     112  -32.361  -75.460  -31.250
     113  -33.237  -82.692  -28.539
     114  -39.062  -80.858  -37.766
     115  -45.931  -70.327  -32.582
     116  -41.528  -67.603  -34.942
     117  -38.823  -72.727  -33.850
     118  -33.673  -84.021  -37.349
     119  -41.850  -81.412  -32.403
     120  -51.834  -85.416  -28.519
     121  -47.213  -79.110  -28.489
     122  -52.322  -88.663  -24.459
     123  -61.320  -87.286  -22.101
     124  -58.313  -72.851  -31.270
     125  -54.396  -75.869  -25.182
     126  -50.883  -86.248  -29.437
     127  -53.678  -85.727  -19.669
     128  -52.016  -89.327  -26.076
     129  -49.399  -88.060  -28.274
     130  -62.108  -79.207  -23.297
     131  -66.280  -81.983  -23.028
     132  -60.132  -76.712  -26.821
     133  -69.942  -75.037  -16.540
     134  -63.671  -80.381  -10.904
     135  -63.539  -82.149  -11.916
     136  -66.909  -77.179   -8.636
     137  -67.000  -74.528    1.425
     138  -64.441  -69.642  -12.941
     139  -67.292  -76.602  -16.313
     140  -64.460  -72.947  -23.529
     141  -61.204  -73.966   -7.403
     142  -66.012  -77.932   -4.221
     143  -56.689  -71.704    6.538
     144  -69.425  -79.784    0.944
     145  -69.074  -78.012    7.771
     146  -64.061  -78.765    0.844
